Rank,Metals Industry,Number Of Employees,"Change In 
 Rank",Industry,Company Description,"Revenues
 ($millions)","Revenue 
 Change","Profits
 ($millions)","Profit 
 Change","Assets
 ($millions)","Market Value 
 As of 3/31/20 ($m)"
267.0,Csx,20908.0,-7.0,Railroad,"Csx Corporation Is An American Holding Company Focused On Rail Transportation And Real Estate In North America, Among Other Industries.",11937.0,-0.026,3331.0,0.007,38257.0,44162.0
268.0,Autozone,75840.0,13.0,Automotive Parts,"Autozone, Inc. Is An American Retailer Of Aftermarket Automotive Parts And Accessories.",11864.0,0.057,1617.2,0.209,9896.0,19756.0
269.0,Pacific Life,3815.0,29.0,Insurance Company,"Pacific Life Insurance Company Is An American Insurance Company Providing Life Insurance Products, Annuities, And Mutual Funds, And Offers A Variety Of Investment Products And Services To Individuals, Businesses, And Pension Plans.",11847.0,0.107,725.0,-0.206,171473.0,-
270.0,Vistra Energy,5475.0,67.0,Electricity Retailer,"Vistra Energy, It Is One Of The Largest Retail Electricity Providers In Texas.",11809.0,0.291,928.0,-,26616.0,7795.0
271.0,Charles Schwab,19700.0,18.0,Financial Services Company,"The Charles Schwab Corporation Provides A Full Range Of Brokerage, Banking And Financial Advisory Services Through Its Operating Subsidiaries.",11785.0,0.072,3704.0,0.056,294005.0,43278.0
272.0,Crown Holdings,33043.0,12.0,Packaging,"Crown Holdings, Inc. Engages In The Design, Manufacture, And Sale Of Packaging Products And Equipment For Consumer Goods.",11665.0,0.046,510.0,0.162,15505.0,7876.0
273.0,Ally Financial,8700.0,30.0,Financial Services Company,"The Company Provides Financial Services Including Car Finance, Online Banking Via A Direct Bank, Corporate Lending, Vehicle Insurance, Mortgage Loans, And An Electronic Trading Platform To Trade Financial Assets.",11618.0,0.11,1715.0,0.358,180644.0,5403.0
274.0,Laboratory Corp. Of America,65000.0,4.0,Clinical Laboratory Company,"Labcorp Provides Vital Information To Help Doctors, Hospitals, Pharmaceutical Companies, Researchers, And Patients Make Clear And Confident Decisions.
",11555.0,0.02,823.8,-0.068,18046.0,12298.0
275.0,Live Nation Entertainment,18200.0,17.0,Entertainment Company,"Live Nation Entertainment, Inc. Is An Entertainment Company, Which Engages In Producing, Marketing And Selling Live Concerts For Artists Via Global Concert Pipe.",11548.0,0.07,69.9,0.16,10976.0,9753.0
276.0,Xcel Energy,11295.0,-2.0,Electric Services Company,Xcel Energy Provides The Energy That Powers Millions Of Homes And Businesses Across Eight Western And Midwestern States. ,11529.0,-0.001,1372.0,0.088,50448.0,31638.0
277.0,Corning,49500.0,2.0,Technology Company,"Corning Incorporated Is An American Multinational Technology Company That Specializes In Specialty Glass, Ceramics, And Related Materials And Technologies Including Advanced Optics, Primarily For Industrial And Scientific Applications.",11503.0,0.019,960.0,-0.099,28898.0,15664.0
278.0,W.w. Grainger,24550.0,4.0, Industrial Supply Distribution,"W.w. Grainger, Inc. Distributes Maintenance, Repair, And Operating Supplies, And Related Information To The Commercial, Industrial, Contractor, And Institutional Markets In North America.",11486.0,0.024,849.0,0.086,6005.0,13338.0
279.0,Ball,18300.0,-8.0,Aerospace Company,"Ball Corporation Is The World's Leading Provider Of Innovative, Sustainable Aluminum Packaging For Beverage, Personal Care And Household Products.",11474.0,-0.014,566.0,0.247,17360.0,21065.0
280.0,Fox,7700.0,-,Mass Media Company,"Fox Corporation Is An American Mass Media Company Headquartered In Midtown Manhattan, New York City.",11389.0,-,1595.0,-,19509.0,14143.0
281.0,Universal Health Services,79050.0,12.0,Hospitals Company,"Universal Health Services, Inc. (uhs) Is One Of The Largest And Most Respected Providers Of Hospital And Healthcare Services .",11378.0,0.056,814.9,0.045,11668.0,8593.0
282.0,Baxter International,50000.0,4.0,Health Care Company,"Baxter International Inc. Is An American Multinational Health Care Company With Headquarters In Deerfield, Illinois. The Company Primarily Focuses On Products To Treat Hemophilia, Kidney Disease, Immune Disorders And Other Chronic And Acute Medical Conditions.",11362.0,0.024,1001.0,-0.353,18193.0,41180.0
283.0,Norfolk Southern,24587.0,-6.0,Transport Company,"The Norfolk Southern Railway (reporting Mark Ns) Is A Class I Freight Railroad In The United States, And Is The Current Name Of The Former Southern Railway.",11296.0,-0.014,2722.0,0.021,37923.0,37537.0
284.0,Navistar International,12300.0,24.0,Holding Company,Navistar International Corporation Is An American Holding Company Created In 1986 As The Successor To International Harvester. Navistar Operates As The Owner Of International Brand Of Trucks And Diesel Engines.,11251.0,0.098,221.0,-0.35,6917.0,1641.0
285.0,Adobe,22634.0,54.0,Computer Software Company,"Adobe Is Changing The World Through Digital Experiences. We Help Our Customers Create, Deliver And Optimise Content And Applications.",11171.0,0.237,2951.5,0.139,20762.0,153328.0
286.0,J.c. Penney,90000.0,-25.0,Department Store Company,"J. C. Penney Company, Inc. Is An American Department Store Chain With 840 Locations In 49 U.s. States And Puerto Rico. I",11167.0,-0.071,-268.0,-,7989.0,116.0
287.0,Discovery,9200.0,13.0,Television Network,"Discovery Channel Is An American Multinational Pay Television Network And Flagship Channel Owned By Discovery, Inc., ",11144.0,0.056,2069.0,2.483,33735.0,9503.0
288.0,Keurig Dr Pepper,25500.0,121.0,Drink Company,"Keurig Dr Pepper - A Leading Producer And Distributer Of Hot And Cold Beverages To Satisfy Every Consumer Need, Anytime And Anywhere.",11120.0,0.494,1254.0,1.14,49518.0,34148.0
289.0,Leidos Holdings,34000.0,22.0,Engineering Company,"Leidos Holdings, Inc. Provides Scientific, Engineering, Systems Integration, And Technical Services And Solutions. The Company Provides Its Services In The Areas Of National Security, Engineering, And Health.",11094.0,0.088,667.0,0.148,9367.0,13000.0
290.0,Iqvia Holdings,67000.0,15.0,Contract Research Organization,"Iqvia, Formerly Quintiles And Ims Health, Inc., Is An American Multinational Company Serving The Combined Industries Of Health Information Technology And Clinical Research.",11088.0,0.065,191.0,-0.263,23251.0,20797.0
291.0,Reliance Steel & Aluminum,15300.0,-16.0,Metals,Reliance Steel & Aluminum Co. Is A Leading Diversified Metal Solutions Provider.,10974.0,-0.049,701.5,0.107,8131.0,5856.0
292.0,Nvidia,13775.0,-24.0,Computer Game Company,"It Designs Graphics Processing Units For The Gaming And Professional Markets, As Well As System On A Chip Units For The Mobile Computing And Automotive Market.",10918.0,-0.068,2796.0,-0.325,17315.0,161451.0
293.0,Entergy,13635.0,-5.0,Energy Industry,Entergy Corporation Is A Fortune 500 Integrated Energy Company Engaged Primarily In Electric Power Production And Retail Distribution Operations In The Deep South Of The United States.,10879.0,-0.012,1241.2,0.463,51724.0,18871.0
294.0,Firstenergy,12316.0,-31.0,Electric Services Company,"Firstenergy Corp Is An Electric Utility Headquartered In Akron, Ohio. Its Subsidiaries And Affiliates Are Involved In The Distribution, Transmission, And Generation Of Electricity, As Well As Energy Management And Other Energy-related Services.",10850.0,-0.085,912.0,-0.323,42301.0,21666.0
295.0,Ebay,13300.0,-,E-commerce Company,Ebay's Focus In India Is On The B2c Ecommerce Retail Export. Indian Sellers Get Huge Benefits By Selling Their Products To Other Countries On Ebay.,10800.0,0.005,1786.0,-0.294,18174.0,23930.0
296.0,Boston Scientific,36000.0,23.0,Medical Device,"Boston Scientific Corp. Engages In The Development, Manufacture And Marketing Of Medical Devices That Are Used In Interventional Medical Specialties.",10735.0,0.093,4700.0,1.813,30565.0,45656.0
297.0,Office Depot,40000.0,-12.0,Retail Company,The Odp Corporation Is An American Office Supply Retailing Company Headquartered In Boca Raton.,10647.0,-0.043,99.0,-0.048,7311.0,868.0
298.0,Molson Coors Beverage,17700.0,-4.0,Beverage Company,"The Molson Coors Beverage Company, Commonly Known As Molson Coors, Is A Multinational Drink And Brewing Company Headquartered In Chicago In The United States.",10579.0,-0.018,241.7,-0.784,28860.0,8441.0
299.0,Steel Dynamics,8385.0,-35.0,Metals Industry,"Steel Dynamics, Inc., Sometimes Abbreviated As ""sdi"", Is A Steel Producer Based In Fort Wayne, Indiana. ",10465.0,-0.115,671.1,-0.467,8276.0,4794.0
300.0,Mutual Of Omaha Insurance,6072.0,36.0,Insurance Company,Mutual Of Omaha Insurance Company Provides Insurance Services. ,10456.0,0.119,271.5,-0.021,50174.0,-
301.0,Sonic Automotive,9300.0,15.0,Automotive,It Is The Fifth Largest Automotive Retailer In The United States. ,10454.0,0.051,144.1,1.791,4071.0,567.0
302.0,Alcoa,13800.0,-66.0,Aluminum Company,"Alcoa (nyse: Aa) Is A Global Industry Leader In Bauxite, Alumina And Aluminum Products, With A Strong Portfolio Of Value-added Cast And Rolled Products And Substantial Energy Assets.",10433.0,-0.222,-1125.0,-5.956,14631.0,1145.0
303.0,Fidelity National Information Services,55000.0,58.0,Information Technology Services,"Fidelity National Information Services, Inc. Operates As A Financial Services Technology Company In The United States And Internationally.",10333.0,0.227,298.0,-0.648,83806.0,74969.0
304.0,Henry Schein,19000.0,-62.0,Medical Device,"Henry Schein Is A Worldwide Distributor Of Medical And Dental Supplies Including Vaccines, Pharmaceuticals, Financial Services And Equipment.",10305.0,-0.219,694.7,0.296,7151.0,7244.0
305.0,Republic Services,36000.0,9.0,Solid Waste Collection Company,"Republic Services, Inc Is The Second Largest Provider Of Non-hazardous Solid Waste Collection, Transfer, Disposal, Recycling, And Energy Services In The United States, As Measured By Revenue.",10299.0,0.026,1073.3,0.035,22684.0,23956.0
306.0,Liberty Media,6753.0,74.0,Mass Media Company,"Liberty Media Corp. Engages In The Business Of Media, Communications And Entertainment.",10292.0,0.28,106.0,-0.8,44189.0,9972.0
307.0,Peter Kiewit Sons',23000.0,33.0,Construction Engineering Company,"Peter Kiewit Sons', Inc. Provides Construction Services. The Company Builds Transportation Systems, Tunnels, Office Buildings, Industrial Complexes, Education And Sports Facilities, Hotels And Hospitals, Factories, And Other Structure.",10283.0,0.139,419.0,-0.105,5717.0,-
308.0,Interpublic Group,54300.0,14.0,Advertising Company,"The Interpublic Group Of Companies, Inc. Is An Organization Of Advertising Agencies And Marketing Service Companies.",10221.0,0.052,656.0,0.06,17752.0,6279.0
309.0,Pultegroup,5245.0,3.0,Home Construction Company,"Pultegroup Inc. Sells And Constructs Homes, And Purchases, Develops, And Sells Residential Land And Develops Active Adult Communities. ",10213.0,0.002,1016.7,-0.005,10716.0,6015.0
310.0,Aes,8000.0,-14.0,Environmental Services,The More Popular And Widely Adopted Symmetric Encryption Algorithm Likely To Be Encountered Nowadays Is The Advanced Encryption Standard (aes).,10189.0,-0.051,303.0,-0.748,33648.0,9041.0
311.0,Fiserv,44000.0,177.0,Financial Company,"Fiserv, Inc. Is A Global Provider Of Financial Services Technology.",10187.0,0.749,893.0,-0.248,77539.0,64508.0
312.0,Borgwarner,29000.0,-11.0,Automotive Industry Company,"Borgwarner, Inc. Engages In The Provision Of Technology Solutions For Combustion, Hybrid And Electric Vehicles.",10168.0,-0.034,746.0,-0.198,9702.0,5037.0
313.0,Oneok,2882.0,-57.0,Natural Gas Liquids Company,The Company Is Involved In The Natural Gas And Natural Gas Liquids Business Across The United States.,10164.0,-0.193,1278.6,0.11,21812.0,9015.0
314.0,O'reilly Automotive,67663.0,15.0,Retail Company,"O'reilly Automotive, Inc. Is A Specialty Retailer Of Automotive Aftermarket Parts, Tools, Supplies, Equipment And Accessories.",10150.0,0.064,1391.0,0.05,10717.0,22353.0
315.0,Assurant,13900.0,63.0,Insurance Company,"Assurant, Inc. Is A Global Provider Of Risk Management Products And Services With Headquarters In New York City.",10087.0,0.252,382.6,0.524,44291.0,6218.0
316.0,Newell Brands,30000.0,-73.0,Commercial Organization,"Newell Brands, Inc. Retails Consumer Products. The Company Offers Housewares, Home Furnishings, Office Supplies, Tools And Hardware, And Hair Accessories.",10083.0,-0.226,106.6,-,15642.0,5949.0
317.0,Public Service Enterprise Group,12992.0,6.0,Electric Services Company,"Public Service Enterprise Group Incorporated Is A Public Utility Holding Company. The Company, Through Its Subsidiaries, Generates, Transmits, And Distributes Electricity And Produces Natural Gas In The Northeastern And Mid Atlantic United States.",10076.0,0.039,1693.0,0.177,47730.0,22685.0
318.0,News Corp.,28000.0,23.0,Mass Media Company,The Original Incarnation Of News Corporation Was An American Multinational Mass Media Corporation Operated And Owned By Media Mogul Rupert Murdoch And Headquartered In New York City.,10074.0,0.116,155.0,-,15711.0,5280.0
319.0,Calpine,2256.0,11.0,Energy Company,Calpine Corporation Is America's Largest Generator Of Electricity From Natural Gas And Geothermal Resources With Operations In Competitive Power Markets.,10072.0,0.059,770.0,76.0,16649.0,-
320.0,Auto-owners Insurance,6141.0,62.0,Insurance Company,"Auto-owners Insurance Is A Mutual Insurance Company That Offers Auto, Home, Business And Life Insurance To Policyholders Exclusively Through Independent Agents. ",10007.0,0.251,1352.4,0.792,27135.0,-
321.0,Mohawk Industries,41800.0,-6.0,Commercial Company,"Mohawk Industries, Inc. Designs, Manufactures, Sources, Distributes, And Markets Flooring For Residential And Commercial Applications.",9971.0,-0.001,744.2,-0.136,13387.0,5464.0
322.0,Pvh,30750.0,2.0,Clothing Company,Pvh Is One Of The Most Admired Fashion And Lifestyle Companies In The World.,9909.0,0.026,417.3,-0.441,13631.0,2746.0
322.0,Campbell Soup,19000.0,27.0,Food Processing Company,"Campbell Soup Company, Doing Business As Campbell's, Is An American Processed Food And Snack Company.",9909.0,0.141,211.0,-0.192,13148.0,13929.0
324.0,Nrg Energy,4577.0,-33.0,Nuclear Electric Power Generation Company,"Nrg Energy, Inc. Engages In The Production, Sale, And Distribution Of Energy And Energy Services.",9871.0,-0.086,4438.0,15.56,12531.0,6830.0
325.0,Fifth Third Bancorp,19869.0,59.0,Banking Company,"It Is The Principal Subsidiary Of Fifth Third Bancorp, A Diversified Bank Holding Company.",9790.0,0.228,2512.0,0.145,169369.0,10560.0
326.0,Hertz Global Holdings,38000.0,5.0,Car Rental Company Company,"Hertz Global Holdings, Inc. Provides Car Rental Services. It Operates As A Vehicle Rental Business Globally Through Its Hertz, Dollar, And Thrifty Car Rental Brands.",9779.0,0.029,-58.0,-,24627.0,878.0
327.0,Altice Usa,10700.0,-,Cable Television Company,Altice Usa Is One Of The Largest Broadband Communications And Video Services Providers In The United States.,9761.0,0.02,138.9,6.377,34108.0,14110.0
328.0,Newmont,16600.0,91.0,Gold Mining Company,It  Is The World's Largest Gold Mining Company.,9740.0,0.343,2805.0,7.226,39974.0,36577.0
329.0,Cheniere Energy,1530.0,54.0,Energy Company,"Cheniere Energy, Inc., An Energy Infrastructure Company, Engages In The Liquefied Natural Gas (lng) Related Businesses In The United States. ",9730.0,0.218,648.0,0.376,35492.0,8512.0
330.0,Advance Auto Parts,53000.0,-4.0,Automotive,It Is An American Automotive Aftermarket Parts Provider.,9709.0,0.013,486.9,0.149,11249.0,6461.0
331.0,Lam Research,10700.0,-44.0,Semiconductor Company,"Lam Research Corporation Is An American Corporation That Engages In The Design, Manufacture, Marketing, And Service Of Semiconductor Processing Equipment Used In The Fabrication Of Integrated Circuits.",9654.0,-0.129,2191.4,-0.079,12001.0,34932.0
332.0,Owens & Minor,15400.0,-15.0,Healthcare Company,"Owens & Minor, Inc. Is A Global Healthcare Logistics Company.",9650.0,-0.019,-62.4,-,3643.0,577.0
333.0,Equitable Holdings,10100.0,-,Financial Service,"Equitable Holdings, Inc Is An American Financial Services And Insurance Company That Was Founded In 1859 By Henry Baldwin Hyde.",9591.0,-0.206,-1733.0,-1.952,249870.0,6707.0
334.0,Conagra Brands,18000.0,52.0,Food Company,Conagra Combines A Rich Heritage Of Great Food With A Sharpened Focus On Innovation,9538.0,0.202,678.3,-0.161,22214.0,14291.0
335.0,Markel,18600.0,106.0,Insurance Company,"Markel Corporation Is A Holding Company For Insurance, Reinsurance, And Investment Operations Around The World.",9526.0,0.392,1790.5,-,37474.0,12787.0
336.0,Jones Financial (edward Jones),49000.0,20.0,Financial Services Company,"Edward D. Jones & Co., L.p., Simplified As Edward Jones, Is A Financial Services Firm Headquartered In St. Louis, Missouri, United States.",9526.0,0.108,1092.0,0.103,19317.0,-
337.0,Hormel Foods,18800.0,-9.0,Food Company,Hormel Foods Corporation Manufactures And Markets Consumer-branded Meat And Food Products.,9497.0,-0.005,978.8,-0.033,8109.0,25082.0
338.0,Hilton Worldwide Holdings,173000.0,7.0,Hospitality Company,"Hilton Worldwide Holdings, Inc. Operates As A Holding Company, Which Provides Hospitality Services Through Its Subsidiaries.",9452.0,0.061,881.0,0.153,14957.0,18933.0
339.0,Univar Solutions,10300.0,14.0,Chemicals Company,Univar Solutions Inc. Is A Global Chemical And Ingredients Distributor And Provider Of Value-added Services Which Works With Leading Suppliers Worldwide.,9444.0,0.094,-100.2,-1.582,6495.0,1810.0
340.0,United Rentals,19100.0,39.0,Construction Company,"United Rentals Is An Equipment Rental Distributor That Deploys People, Tools, And Solutions To Enable Their Customers To Build Constructions. ",9351.0,0.162,1174.0,0.071,18970.0,7623.0
341.0,Pioneer Natural Resources,2323.0,-8.0,Energy Company,Pioneer Natural Resources Co. Operates As An Independent Oil And Gas Exploration And Production Company. ,9304.0,-0.012,756.0,-0.227,19067.0,11625.0
342.0,Delek Us Holdings,3707.0,-35.0,Petroleum Refining Company,"Delek Us Holdings, Inc. Is A Diversified Downstream Energy Company With Assets In Petroleum Refining, Logistics, Renewable Fuels And Convenience Store Retailing.",9298.0,-0.094,310.6,-0.087,7016.0,1190.0
343.0,Eastman Chemical,14500.0,-30.0,Chemical Industry Company,Eastman Chemical Company Is An American Company Primarily Involved In The Chemical Industry. ,9273.0,-0.086,759.0,-0.297,16008.0,6330.0
344.0,Emcor Group,36000.0,31.0,Construction Company,"Emcor Group, Inc. Provides Electrical And Mechanical Construction And Facilities Services.",9175.0,0.128,325.1,0.147,4830.0,3450.0
345.0,Avis Budget Group,25600.0,-7.0,Car Rental Company,"Avis Budget Group, Inc. Is The American Parent Company Of Avis Car Rental, Budget Car Rental, Budget Truck Rental, And Zipcar, Consisting Of Its Global Brands.",9172.0,0.005,302.0,0.83,23126.0,967.0
346.0,J.b. Hunt Transport Services,29056.0,8.0,Transport Services,"The Company Offers Logistics Management, Trucking, Warehousing, Freight Forwarding, Brokerage, Cargo, Storage, Shipping, Supply Chain Management, And Distribution Services.",9165.0,0.064,516.3,0.055,5471.0,9800.0
347.0,Xerox Holdings,27000.0,-29.0,Information Technology,"Xerox Holdings Corporation Designs, Develops, And Sells Document Management Systems And Solutions In The United States, Europe, Canada, And Internationally.",9145.0,-0.07,1353.0,2.748,15047.0,4030.0
348.0,Wayfair,16985.0,98.0,Online Store Company,Wayfair Inc. Is An American E-commerce Company That Sells Furniture And Home-goods.,9127.0,0.346,-984.6,-,2953.0,5043.0
349.0,Kkr,1384.0,177.0,Private Equity Company,"Kkr & Co. Inc. Is An American Global Investment Company That Manages Multiple Alternative Asset Classes, Including Private Equity, Energy, Infrastructure, Real Estate, Credit, And, Through Its Strategic Partners, Hedge Funds. ",9120.0,0.746,2005.0,0.773,60899.0,19913.0
350.0,Agco,20961.0,-15.0,Agricultural Machinery Company,Agco Corporation (agco) Is A Manufacturer And Distributor Of Agricultural Equipment And Related Replacement Parts Globally.,9041.0,-0.033,125.2,-0.561,7760.0,3546.0
351.0,Alleghany,10786.0,86.0,Holding Company,Alleghany Corporation Provides Property And Casualty Reinsurance And Insurance Products In The United States And Internationally.,9041.0,0.313,857.8,20.695,26932.0,7924.0
352.0,Icahn Enterprises,28033.0,-186.0,Conglomerate Company,"The Company Has Investments In Various Industries Including Auto Parts, Energy, Metals, Rail Cars, Casinos, Food Packaging, Real Estate, And Home Fashion.",8992.0,-0.526,-1098.0,-1.729,24639.0,10366.0
353.0,Voya Financial,6000.0,-10.0,Financial Services,"Voya Financial Is An American Financial, Retirement, Investment And Insurance Company Based In New York City.",8942.0,0.001,-351.0,-1.401,169051.0,5366.0
354.0,Ryder System,39900.0,9.0,Transport Company,"Ryder, Is An American Transportation And Logistics Company. It Is Especially Known For Its Fleet Of Commercial Rental Trucks.",8926.0,0.061,-24.4,-1.089,14475.0,1381.0
355.0,Air Products & Chemicals,17570.0,-11.0,Chemical Industry Company,"Air Products And Chemicals, Inc. Is An American International Corporation Whose Principal Business Is Selling Gases And Chemicals For Industrial Uses.",8919.0,-0.001,1760.0,0.175,18943.0,44050.0
356.0,Mosaic,12600.0,-31.0,Mining & Metals,The Mosaic Company Mines And Processes Phosphate And Potash Minerals Into Crop Nutrients To Help Feed The World.,8906.0,-0.071,-1067.4,-3.271,19299.0,4098.0
357.0,Huntington Ingalls Industries,42000.0,14.0,Shipbuilding Company,Huntington Ingalls Industries Is America's Largest Military Shipbuilding Company And A Provider Of Professional Services To Partners In Government And Industry.,8899.0,0.088,549.0,-0.343,7031.0,7420.0
358.0,Berry Global Group,48000.0,31.0,Plastics Company,Global Manufacturer And Marketer Of Plastic Packaging Products. ,8878.0,0.128,404.0,-0.185,16469.0,4463.0
359.0,Anixter International,9400.0,5.0,Electronic Solutions,"Anixter International Inc. Is A Global Distributor Of Network And Security, Electrical And Electronic, And Utility Power Solutions. ",8846.0,0.053,262.9,0.682,4809.0,2973.0
360.0,Alaska Air Group,24134.0,8.0,Airline,"Alaska Air Group Is An Airline Holding Company Based In Seatac, Washington, United States.",8781.0,0.063,769.0,0.76,12993.0,3490.0
361.0,Yum China Holdings,450000.0,1.0,Fast Food Restaurant Company,"Yum China Holdings, Inc. Is China's Leading Restaurant Company With A Vision Of Becoming The World's Most Innovative Pioneer In Restaurant Industry.",8776.0,0.043,713.0,0.007,6950.0,16033.0
362.0,Dick's Sporting Goods,28450.0,-3.0,Retail Company,"Dick's Sporting Goods, Inc. Is An American Sporting Goods Retail Company, Based In Coraopolis, Pennsylvania",8751.0,0.037,297.5,-0.07,6629.0,1848.0
363.0,Caesars Entertainment,64000.0,2.0,Entertainment Company,Caesars Entertainment Is One Of The World's Most Diversified Casino-entertainment Providers And The Most Geographically Diverse U.s. Casino-entertainment Company.,8742.0,0.042,-1195.0,-4.944,25345.0,4612.0
364.0,Genworth Financial,3100.0,-4.0,Insurance Company,"Genworth Financial, Inc. Is A Financial Services Company, Which Engages In The Provision Of Insurance, Wealth Management, Investment And Financial Solutions.",8681.0,0.03,343.0,1.882,101342.0,1676.0
365.0,Targa Resources,2680.0,-63.0,Fast Food Restaurant Company,Targa Resources Is A Growth-oriented Provider Of Midstream Services And Is One Of The Largest Independent Midstream Energy Companies In North America.,8671.0,-0.173,-209.2,-131.75,18815.0,1611.0
366.0,Coty,19000.0,-32.0,Beauty,"Coty Is A Global Beauty Company Making Cosmetic, Skin, Fragrance & Hair Brands. We Positively Disrupt To Create A Radically Inclusive World Of Beauty.",8649.0,-0.08,-3784.2,-,17665.0,3924.0
367.0,Dana,36300.0,6.0,Automotive Industry,"Dana Engineers, Manufactures, And Distributes Power-conveyance And Energy-management Solutions For The Vehicles Of Today And Tomorrow.",8620.0,0.059,226.0,-0.471,7220.0,1128.0
368.0,Thrivent Financial For Lutherans,3235.0,-17.0,Not-for-profit Organization,"The Organization Offers Life Insurance, Annuities, Mutual Funds, And Other Services. Thrivent Financial For Lutherans Foundation Serves Communities In The United States.",8612.0,-0.003,968.1,-0.215,102478.0,-
369.0,Autoliv,61957.0,-48.0,Automotive,Autoliv Is A Holding Company And A Supplier Of Automotive Safety Systems.,8548.0,-0.128,461.5,1.424,6771.0,4017.0
370.0,Spartannash,13800.0,7.0,Grocery Store Company,"The Most Progressive Wholesale Grocery Distributor And Retailer In The Midwest, Supporting Independent Grocers, And Military Commissaries And Exchanges.",8536.0,0.058,5.7,-0.829,2276.0,521.0
371.0,Eversource Energy,8234.0,-13.0,Electric Services Company,Eversource Energy. Eversource Energy Is A Public Utility Holding Company.,8527.0,0.009,909.1,-0.12,41124.0,25835.0
372.0,Darden Restaurants,184514.0,4.0,Restaurant Company,"Darden Restaurants, Inc. Is An American Multi-brand Restaurant.",8510.0,0.053,713.4,0.197,5893.0,6580.0
373.0,Chesapeake Energy,2300.0,-64.0,Gas Industry Company,Chesapeake Energy Corporation Is An American Energy Company Engaged In Hydrocarbon Exploration. ,8489.0,-0.17,-308.0,-1.353,16193.0,338.0
374.0,National Oilwell Varco,34645.0,-17.0,Oilfield Services And Equipment,"National Oilwell Varco Is A Worldwide Leader In The Design, Manufacture, And Sale Of Equipment And Components Used In Oil And Gas Drilling And Production Operations, And The Provision Of Oilfield Services To The Oil And Gas Industry.",8479.0,0.003,-6095.0,-,13149.0,3794.0
375.0,Fidelity National Financial,23484.0,27.0,Insurance Company,"Fidelity National Financial, Inc. Is A Provider Of Title Insurance, Mortgage Services And Diversified Services.",8469.0,0.115,1062.0,0.691,10677.0,6854.0
376.0,Erie Insurance Group,5778.0,5.0,Insurance Company,"Erie Insurance Offers A Range Of Services To Meet Family Insurance Needs, Including A Variety Of Home And Tenant (renters) Insurance Policy.",8443.0,0.051,551.0,-0.197,23347.0,-
377.0,Oshkosh,15400.0,18.0,Apparel Company,Oshkosh B'gosh Is An American Children's Apparel Company Founded In Oshkosh.,8382.0,0.088,579.4,0.228,5566.0,4394.0
378.0,Casey's General Stores,26866.0,30.0,Convenience Store Company,"Casey's Offers A Wide Range Of Prepared Foods And Beverages In Addition To The Traditional Selection Of Snacks, Grocery Items, Retail Goods And Gasoline.",8365.0,0.119,203.9,-0.359,3731.0,4875.0
379.0,Wesco International,9500.0,-9.0,"Maintenance, Repair, And Operations Company","Wesco Distribution, A Multinational Electrical Distribution And Services Company Based In Pittsburgh.",8359.0,0.022,223.4,-0.017,5018.0,957.0
380.0,Tractor Supply,24000.0,8.0,Retail Chain Company,"Tractor Supply Company Is An American Retail Chain Of Stores That Offers Products For Home Improvement, Agriculture, Lawn And Garden Maintenance, Livestock, Equine And Pet Care.",8352.0,0.056,562.4,0.056,5289.0,9810.0
381.0,Commscope Holding,30000.0,188.0,Infrastructure Company,"Commscope Holding Company, Inc. Is A Provider Of Infrastructure Solutions For Communication And Entertainment Networks.",8345.0,0.827,-929.5,-7.629,14432.0,1779.0
382.0,Huntsman,10000.0,-106.0,Chemical Manufacturing Company,Huntsman Corporation Is An American Multinational Manufacturer And Marketer Of Chemical Products For Consumers And Industrial Customers.,8342.0,-0.276,562.0,0.668,8320.0,3217.0
383.0,American Financial Group,7700.0,44.0,Financial Services Company,"American Financial Group, Inc. Is An American Financial Services Holding Company Based In Cincinnati, Ohio.",8237.0,0.152,897.0,0.692,70130.0,6331.0
384.0,Masco,22000.0,-18.0,Manufacturing Company,Masco Corporation Is A Manufacturer Of Products For The Home Improvement And New Home Construction Markets.,8235.0,-0.015,935.0,0.274,5027.0,9118.0
385.0,Sanmina,38500.0,44.0,Electrical & Electronic Manufacturing,Sanmina Corporation Provides Electronics Contract Manufacturing Services To Customers Located Around The World. ,8234.0,0.158,141.5,-,3906.0,1927.0
386.0,Amphenol,74000.0,-17.0,Fiber Optic Cable Manufacturing Company,"Amphenol Corporation Is A Major Producer Of Electronic And Fiber Optic Connectors, Cable And Interconnect Systems Such As Coaxial Cables. ",8225.0,0.003,1155.0,-0.041,10816.0,21726.0
387.0,Williams,4812.0,-39.0,Racing Team,Williams Is Providing Infrastructure That Safely Delivers Natural Gas Products To Fuel A Clean Energy Economy.,8201.0,-0.056,850.0,-,46040.0,17166.0
388.0,Westinghouse Air Brake,27500.0,201.0,Railroad Manufacture,"Westinghouse Air Brake Technologies (dba Wabtec) Manufactures Braking Equipment And Other Parts For Locomotives, Freight Cars, And Passenger Railcars.",8200.0,0.879,326.7,0.108,18944.0,9227.0
389.0,Expeditors Intl. Of Washington,18000.0,-15.0,Logistics Company,"The Company Provides Air And Ocean Freight Forwarding, Vendor Consolidation, Customs Clearance, Marine Insurance, Distribution, And Other International Logistics Services.
",8175.0,0.005,590.4,-0.045,3692.0,11208.0
